[Data]
 R [ m ], Velocity Axial [ m s^-1 ], Velocity Radial [ m s^-1 ], Velocity Circumferential [ m s^-1 ]
   0.01084497000000,   0.40992640000000, 0.0,   0.56396450000000
   0.01097256000000,   0.41361560000000, 0.0,   0.56590490000000
   0.01110015000000,   0.41728740000000, 0.0,   0.56768440000000
   0.01122774000000,   0.42093530000000, 0.0,   0.56930670000000
   0.01135533000000,   0.42455260000000, 0.0,   0.57077570000000
   0.01148291000000,   0.42813240000000, 0.0,   0.57209510000000
   0.01161050000000,   0.43166800000000, 0.0,   0.57326880000000
   0.01173809000000,   0.43515270000000, 0.0,   0.57430060000000
   0.01186568000000,   0.43857980000000, 0.0,   0.57519420000000
   0.01199327000000,   0.44194230000000, 0.0,   0.57595370000000
   0.01212085000000,   0.44523470000000, 0.0,   0.57658190000000
   0.01224844000000,   0.44845640000000, 0.0,   0.57707740000000
   0.01237603000000,   0.45161130000000, 0.0,   0.57743560000000
   0.01250362000000,   0.45470260000000, 0.0,   0.57765210000000
   0.01263121000000,   0.45773380000000, 0.0,   0.57772250000000
   0.01275879000000,   0.46070830000000, 0.0,   0.57764220000000
   0.01288638000000,   0.46362940000000, 0.0,   0.57740680000000
   0.01301397000000,   0.46650070000000, 0.0,   0.57701180000000
   0.01314156000000,   0.46932560000000, 0.0,   0.57645280000000
   0.01326915000000,   0.47210730000000, 0.0,   0.57572550000000
   0.01339673000000,   0.47484960000000, 0.0,   0.57482490000000
   0.01352432000000,   0.47755210000000, 0.0,   0.57375340000000
   0.01365191000000,   0.48020880000000, 0.0,   0.57252320000000
   0.01377950000000,   0.48281270000000, 0.0,   0.57114860000000
   0.01390709000000,   0.48535680000000, 0.0,   0.56964350000000
   0.01403467000000,   0.48783430000000, 0.0,   0.56802210000000
   0.01416226000000,   0.49023820000000, 0.0,   0.56629840000000
   0.01428985000000,   0.49256150000000, 0.0,   0.56448630000000
   0.01441744000000,   0.49479740000000, 0.0,   0.56260010000000
   0.01454503000000,   0.49693880000000, 0.0,   0.56065350000000
   0.01467261000000,   0.49897870000000, 0.0,   0.55866100000000
   0.01480020000000,   0.50091170000000, 0.0,   0.55663470000000
   0.01492779000000,   0.50273980000000, 0.0,   0.55457700000000
   0.01505538000000,   0.50446990000000, 0.0,   0.55248460000000
   0.01518296000000,   0.50610810000000, 0.0,   0.55035450000000
   0.01531055000000,   0.50766120000000, 0.0,   0.54818360000000
   0.01543814000000,   0.50913540000000, 0.0,   0.54596900000000
   0.01556573000000,   0.51053740000000, 0.0,   0.54370740000000
   0.01569332000000,   0.51187350000000, 0.0,   0.54139600000000
   0.01582090000000,   0.51315020000000, 0.0,   0.53903150000000
   0.01594849000000,   0.51437400000000, 0.0,   0.53661110000000
   0.01607608000000,   0.51555140000000, 0.0,   0.53413140000000
   0.01620367000000,   0.51668540000000, 0.0,   0.53159450000000
   0.01633126000000,   0.51777430000000, 0.0,   0.52900860000000
   0.01645884000000,   0.51881550000000, 0.0,   0.52638350000000
   0.01658643000000,   0.51980650000000, 0.0,   0.52372860000000
   0.01671402000000,   0.52074500000000, 0.0,   0.52105330000000
   0.01684161000000,   0.52162850000000, 0.0,   0.51836710000000
   0.01696920000000,   0.52245450000000, 0.0,   0.51567940000000
   0.01709678000000,   0.52322050000000, 0.0,   0.51299980000000
   0.01722437000000,   0.52392420000000, 0.0,   0.51033770000000
   0.01735196000000,   0.52456300000000, 0.0,   0.50770250000000
   0.01747955000000,   0.52513630000000, 0.0,   0.50510300000000
   0.01760714000000,   0.52565290000000, 0.0,   0.50254420000000
   0.01773472000000,   0.52612630000000, 0.0,   0.50002900000000
   0.01786231000000,   0.52656960000000, 0.0,   0.49756060000000
   0.01798990000000,   0.52699600000000, 0.0,   0.49514220000000
   0.01811749000000,   0.52741880000000, 0.0,   0.49277690000000
   0.01824508000000,   0.52785120000000, 0.0,   0.49046790000000
   0.01837266000000,   0.52830630000000, 0.0,   0.48821830000000
   0.01850025000000,   0.52879750000000, 0.0,   0.48603130000000
   0.01862784000000,   0.52933770000000, 0.0,   0.48390970000000
   0.01875543000000,   0.52994070000000, 0.0,   0.48185720000000
   0.01888302000000,   0.53059760000000, 0.0,   0.47986210000000
   0.01901060000000,   0.53127500000000, 0.0,   0.47789600000000
   0.01913819000000,   0.53193480000000, 0.0,   0.47592760000000
   0.01926578000000,   0.53254010000000, 0.0,   0.47392620000000
   0.01939337000000,   0.53305340000000, 0.0,   0.47186090000000
   0.01952095000000,   0.53343770000000, 0.0,   0.46970090000000
   0.01964854000000,   0.53365570000000, 0.0,   0.46741550000000
   0.01977613000000,   0.53367000000000, 0.0,   0.46497370000000
   0.01990372000000,   0.53344370000000, 0.0,   0.46234480000000
   0.02003131000000,   0.53293910000000, 0.0,   0.45949770000000
   0.02015889000000,   0.53212860000000, 0.0,   0.45640870000000
   0.02028648000000,   0.53103370000000, 0.0,   0.45308940000000
   0.02041407000000,   0.52969340000000, 0.0,   0.44956460000000
   0.02054166000000,   0.52814680000000, 0.0,   0.44585860000000
   0.02066925000000,   0.52643270000000, 0.0,   0.44199610000000
   0.02079683000000,   0.52459030000000, 0.0,   0.43800150000000
   0.02092442000000,   0.52265840000000, 0.0,   0.43389940000000
   0.02105201000000,   0.52067600000000, 0.0,   0.42971420000000
   0.02117960000000,   0.51868220000000, 0.0,   0.42547060000000
   0.02130719000000,   0.51671560000000, 0.0,   0.42119290000000
   0.02143477000000,   0.51481520000000, 0.0,   0.41690560000000
   0.02156236000000,   0.51298420000000, 0.0,   0.41262180000000
   0.02168995000000,   0.51118770000000, 0.0,   0.40834220000000
   0.02181754000000,   0.50938650000000, 0.0,   0.40406620000000
   0.02194513000000,   0.50754190000000, 0.0,   0.39979340000000
   0.02207271000000,   0.50561540000000, 0.0,   0.39552330000000
   0.02220030000000,   0.50356820000000, 0.0,   0.39125550000000
   0.02232789000000,   0.50136160000000, 0.0,   0.38698950000000
